136 3
k power error
3.82536e-01 -3.08991e+02 1.45884e+01
3.87552e-01 -3.04844e+02 1.43371e+01
3.92547e-01 -3.29573e+02 1.39105e+01
3.97546e-01 -3.52150e+02 1.36480e+01
4.02499e-01 -3.55671e+02 1.33301e+01
4.07479e-01 -3.74977e+02 1.29529e+01
4.12490e-01 -3.90236e+02 1.26401e+01
4.17512e-01 -4.01407e+02 1.23767e+01
4.22502e-01 -4.09057e+02 1.21561e+01
4.27509e-01 -4.26515e+02 1.17516e+01
4.32525e-01 -4.42871e+02 1.15961e+01
4.37527e-01 -4.74555e+02 1.12782e+01
4.42513e-01 -4.67286e+02 1.11563e+01
4.47488e-01 -4.73468e+02 1.08513e+01
4.52491e-01 -4.83422e+02 1.06699e+01
4.57488e-01 -4.90122e+02 1.04965e+01
4.62511e-01 -5.08222e+02 1.02185e+01
4.67498e-01 -5.16907e+02 1.01125e+01
4.72488e-01 -5.16778e+02 9.78786e+00
4.77524e-01 -5.32217e+02 9.61747e+00
4.82534e-01 -5.37040e+02 9.47674e+00
4.87534e-01 -5.36317e+02 9.31242e+00
4.92529e-01 -5.24115e+02 9.16372e+00
4.97516e-01 -5.40665e+02 8.97344e+00
5.02514e-01 -5.46220e+02 8.84893e+00
5.07510e-01 -5.53663e+02 8.69658e+00
5.12503e-01 -5.58605e+02 8.55162e+00
5.17508e-01 -5.67416e+02 8.41191e+00
5.22508e-01 -5.60971e+02 8.26328e+00
5.27533e-01 -5.85839e+02 8.07363e+00
5.32546e-01 -5.76400e+02 8.00494e+00
5.37526e-01 -5.81204e+02 7.88193e+00
5.42520e-01 -5.82926e+02 7.74957e+00
5.47497e-01 -5.83852e+02 7.68001e+00
5.52499e-01 -6.01244e+02 7.47027e+00
5.57498e-01 -5.71919e+02 7.45735e+00
5.62495e-01 -5.86069e+02 7.29737e+00
5.67498e-01 -6.02255e+02 7.20921e+00
5.72509e-01 -6.07468e+02 7.04218e+00
5.77523e-01 -6.00791e+02 7.00763e+00
5.82516e-01 -5.97702e+02 6.89707e+00
5.87520e-01 -6.05412e+02 6.81053e+00
5.92504e-01 -6.05144e+02 6.73531e+00
5.97520e-01 -5.95526e+02 6.58719e+00
6.02521e-01 -5.90479e+02 6.56655e+00
6.07499e-01 -6.07049e+02 6.44423e+00
6.12494e-01 -5.96677e+02 6.38069e+00
6.17509e-01 -6.07594e+02 6.26831e+00
6.22515e-01 -6.00872e+02 6.22045e+00
6.27513e-01 -5.96589e+02 6.11832e+00
6.32531e-01 -6.00604e+02 6.05654e+00
6.37526e-01 -5.99996e+02 5.97794e+00
6.42501e-01 -5.97746e+02 5.94180e+00
6.47479e-01 -5.94700e+02 5.83717e+00
6.52492e-01 -5.97631e+02 5.75367e+00
6.57494e-01 -5.98720e+02 5.72382e+00
6.62500e-01 -5.85929e+02 5.63205e+00
6.67523e-01 -5.83529e+02 5.57255e+00
6.72524e-01 -5.85936e+02 5.52243e+00
6.77516e-01 -5.85504e+02 5.46675e+00
6.82513e-01 -5.86195e+02 5.38637e+00
6.87520e-01 -5.76648e+02 5.34468e+00
6.92507e-01 -5.70788e+02 5.30299e+00
6.97511e-01 -5.76052e+02 5.19861e+00
2.30267e-02 1.09939e+04 5.62295e+03
2.79737e-02 -9.33096e+03 4.74434e+03
3.27795e-02 9.56531e+03 3.28151e+03
3.78436e-02 -8.22327e+03 2.53329e+03
4.25464e-02 4.35729e+03 2.22017e+03
4.73625e-02 1.62031e+02 1.59786e+03
5.23387e-02 -3.36362e+03 1.43185e+03
5.74630e-02 8.37010e+02 1.15321e+03
6.25734e-02 -6.49449e+02 1.07439e+03
6.75634e-02 2.09125e+03 9.19699e+02
7.26546e-02 -1.34506e+03 7.84399e+02
7.76146e-02 1.95303e+02 6.86892e+02
8.25315e-02 -2.88115e+02 5.81711e+02
8.75548e-02 8.24865e+02 4.89760e+02
9.25934e-02 2.00109e+02 4.29830e+02
9.75307e-02 1.57226e+02 3.75320e+02
1.02532e-01 1.69065e+02 3.30237e+02
1.07508e-01 1.61006e+03 3.18082e+02
1.12463e-01 3.86956e+02 2.79618e+02
1.17559e-01 1.04986e+03 2.60075e+02
1.22531e-01 -1.29389e+02 2.39972e+02
1.27504e-01 4.76744e+02 2.15358e+02
1.32521e-01 4.63084e+02 2.01181e+02
1.37536e-01 -1.87374e+02 1.81641e+02
1.42567e-01 3.17948e+02 1.69650e+02
1.47544e-01 -1.97846e+02 1.52193e+02
1.52514e-01 3.40661e+02 1.44024e+02
1.57488e-01 6.45391e+02 1.33404e+02
1.62494e-01 7.09203e+02 1.23280e+02
1.67530e-01 2.74097e+02 1.13047e+02
1.72567e-01 3.02343e+02 1.08020e+02
1.77538e-01 4.79126e+02 1.02064e+02
1.82552e-01 5.88269e+01 9.49830e+01
1.87534e-01 3.30236e+02 9.02638e+01
1.92529e-01 2.20921e+02 8.41333e+01
1.97533e-01 7.87467e+01 7.99075e+01
2.02527e-01 3.91275e+02 7.55120e+01
2.07534e-01 4.52649e+02 7.26526e+01
2.12532e-01 3.00640e+02 6.70675e+01
2.17570e-01 3.23597e+02 6.47575e+01
2.22563e-01 5.52051e+02 6.11346e+01
2.27555e-01 2.25172e+02 5.84675e+01
2.32496e-01 4.88734e+02 5.58562e+01
2.37493e-01 1.94549e+02 5.25893e+01
2.42529e-01 3.70207e+02 5.07496e+01
2.47528e-01 2.48243e+02 4.81238e+01
2.52500e-01 3.82430e+02 4.64471e+01
2.57465e-01 4.89165e+02 4.46754e+01
2.62514e-01 2.60718e+02 4.24873e+01
2.67526e-01 5.33452e+02 4.08456e+01
2.72491e-01 2.78391e+02 3.94558e+01
2.77487e-01 4.01025e+02 3.74007e+01
2.82537e-01 3.76290e+02 3.64183e+01
2.87517e-01 4.78529e+02 3.53950e+01
2.92491e-01 3.11005e+02 3.35662e+01
2.97525e-01 3.83699e+02 3.24106e+01
3.02502e-01 4.09243e+02 3.15331e+01
3.07495e-01 3.77247e+02 3.02605e+01
3.12515e-01 3.95514e+02 2.91579e+01
3.17516e-01 4.42761e+02 2.84822e+01
3.22499e-01 4.70849e+02 2.74740e+01
3.27532e-01 4.53382e+02 2.64648e+01
3.32525e-01 5.16638e+02 2.60024e+01
3.37493e-01 3.78744e+02 2.48795e+01
3.42523e-01 4.03720e+02 2.41126e+01
3.47533e-01 3.56102e+02 2.35703e+01
3.52512e-01 4.45210e+02 2.29201e+01
3.57491e-01 4.25627e+02 2.22946e+01
3.62531e-01 5.50654e+02 2.15234e+01
3.67515e-01 4.67487e+02 2.12011e+01
3.72493e-01 4.12168e+02 2.04052e+01
3.77512e-01 4.67074e+02 1.99291e+01
3.82536e-01 5.05591e+02 1.93050e+01
3.87552e-01 4.34868e+02 1.90189e+01
3.92547e-01 4.43764e+02 1.84577e+01
3.97546e-01 4.88948e+02 1.79899e+01
4.02499e-01 4.30726e+02 1.76172e+01
4.07479e-01 4.65556e+02 1.71281e+01
4.12490e-01 4.86573e+02 1.67505e+01
4.17512e-01 5.11644e+02 1.63844e+01
4.22502e-01 4.60697e+02 1.60670e+01
4.27509e-01 4.43011e+02 1.56057e+01
4.32525e-01 4.92850e+02 1.53310e+01
4.37527e-01 4.50053e+02 1.49021e+01
4.42513e-01 4.74013e+02 1.47122e+01
4.47488e-01 4.86734e+02 1.43418e+01
4.52491e-01 4.73727e+02 1.40826e+01
4.57488e-01 5.29103e+02 1.38508e+01
4.62511e-01 5.18212e+02 1.35006e+01
4.67498e-01 5.37374e+02 1.33745e+01
4.72488e-01 4.55092e+02 1.29435e+01
4.77524e-01 5.11594e+02 1.26900e+01
4.82534e-01 4.68307e+02 1.25367e+01
4.87534e-01 5.30929e+02 1.22593e+01
4.92529e-01 4.95082e+02 1.20624e+01
4.97516e-01 4.96619e+02 1.18204e+01
5.02514e-01 5.23271e+02 1.16514e+01
5.07510e-01 5.02953e+02 1.14436e+01
5.12503e-01 5.42427e+02 1.12935e+01
5.17508e-01 5.23981e+02 1.10998e+01
5.22508e-01 5.18134e+02 1.09136e+01
5.27533e-01 5.12222e+02 1.06532e+01
5.32546e-01 5.11804e+02 1.05614e+01
5.37526e-01 4.98420e+02 1.03827e+01
5.42520e-01 5.34555e+02 1.01999e+01
5.47497e-01 5.15025e+02 1.01022e+01
5.52499e-01 5.17694e+02 9.83805e+00
5.57498e-01 5.06351e+02 9.81051e+00
5.62495e-01 5.57140e+02 9.60436e+00
5.67498e-01 5.15350e+02 9.48804e+00
5.72509e-01 5.28397e+02 9.29343e+00
5.77523e-01 5.33066e+02 9.23692e+00
5.82516e-01 5.33603e+02 9.07422e+00
5.87520e-01 5.34362e+02 8.95674e+00
5.92504e-01 5.36955e+02 8.87497e+00
5.97520e-01 5.13863e+02 8.66812e+00
6.02521e-01 5.17497e+02 8.62547e+00
6.07499e-01 5.25497e+02 8.47541e+00
6.12494e-01 5.33474e+02 8.39809e+00
6.17509e-01 5.54163e+02 8.25253e+00
6.22515e-01 5.11673e+02 8.18162e+00
6.27513e-01 5.45591e+02 8.04009e+00
6.32531e-01 5.30002e+02 7.96253e+00
6.37526e-01 5.47870e+02 7.85475e+00
6.42501e-01 5.31697e+02 7.82631e+00
6.47479e-01 5.12925e+02 7.65685e+00
6.52492e-01 5.05973e+02 7.55836e+00
6.57494e-01 5.46004e+02 7.50353e+00
6.62500e-01 5.34209e+02 7.40721e+00
6.67523e-01 5.29264e+02 7.33949e+00
6.72524e-01 5.31560e+02 7.26232e+00
6.77516e-01 5.48345e+02 7.18424e+00
6.82513e-01 5.22843e+02 7.08789e+00
6.87520e-01 5.25237e+02 7.02783e+00
6.92507e-01 5.48470e+02 6.96660e+00
6.97511e-01 4.91936e+02 6.84781e+00
